Frequentie;Land;Zender;Locatie;Afstand tot Zundert
107.2;BEL;Hasselt 1;Hasselt (vlg-lim);75km
107.2;HOL;Extra FM;Beneden-Leeuwen/Ranks Meel (gel);75km
107.3;HOL;BredaNu;Breda/Gemeentehuis (nbr);16km
107.3;BEL;Radio Kempenland;Lille/Achterstenhoek 32 (vlg-ant);26km
107.3;BEL;FM Goud Plus;Hechtel-Eksel (vlg-lim);62km
107.3;BEL;RGR Dance;Lubbeek (vlg-vbr);64km
107.3;HOL;Eén FM;Oirschot/Sint-Petrusbasiliek (nbr);45km
107.3;BEL;Antipode;Limal/Château d'eau (wal-bra);85km
107.4;BEL;Stadsradio Vlaanderen;Antwerpen/Century Center (vlg-ant);33km
107.4;BEL;Omroep Neteland FM;Herenthout/Wiekevorstse Steenweg (vlg-ant);37km
107.4;HOL;Lokaal 7 FM;Den Dungen/Sint-Jacobus De Meerdere Kerk (nbr);53km
107.4;BEL;Radio Moetoen;Kampenhout (vlg-vbr);59km
107.4;BEL;RBS Radio;Berlare (vlg-ovl);68km
107.4;BEL;Radio GRK;Genk/Weg naar As 54 (vlg-lim);81km
107.5;BEL;Radio Nova;Essen (vlg-ant);14km
107.5;BEL;Radio Stereo FM;Turnhout/Parklaan 50 (vlg-ant);26km
107.5;BEL;Goldies Radio;Stekene (vlg-ovl);53km
107.5;BEL;Radio Lorali;Lummen/Het Meerlehof (vlg-lim);64km
107.5;BEL;Radio MooyZo;Asse (vlg-vbr);70km
107.5;BEL;Radio Opsinjoor;Duffel/Neervelden (vlg-ant);41km
107.5;BEL;NRJ Belgique;Limal/Château d'eau (wal-bra);85km
107.6;BEL;Radio Zoe Gold;Brecht (vlg-ant);14km
107.6;BEL;Radio Mol;Balen/Tuincentrum Van Gastel (vlg-ant);47km
107.6;BEL;RGR Classic Hits;Aarschot/Demervallei (vlg-vbr);55km
107.6;BEL;Radio Rivierenland;Buggenhout (vlg-ovl);60km
107.6;BEL;RCF (Bruxelles);Bruxelles=Brussel/Tour du Bastion=Bastiontoren (bru);73km
107.6;HOL;Omroep Tilburg;Tilburg/Schouwburgring (nbr);30km
107.6;BEL;Radio Aktief Gold (via Radio Tamboer);Assenede/Stroomstraat (vlg-ovl);74km
107.6;HOL;Feel Good Radio;Nootdorp/Sportveld S.V. Nootdorp (zho);67km
107.6;BEL;Hasselt 1;Kortessem (vlg-lim);83km
107.7;BEL;Omroep Neteland FM;Herentals/Kleerroos Blok B (vlg-ant);35km
107.7;HOL;Radio Veldhoven;Veldhoven/Merefelt (nbr);52km
107.7;BEL;Trendy FM;Hechtel-Eksel/Peerderbaan 135 (vlg-lim);63km
107.7;BEL;Stadsradio Tienen;Tienen/Houtemstraat 115 (vlg-vbr);75km
107.8;BEL;Radio Noorderkempen;Beerse/Bisschopslaan 28 (vlg-ant);21km
107.8;BEL;Radio Stad;Antwerpen/Century Center (vlg-ant);33km
107.8;BEL;Geel FM;Laakdal (vlg-ant);50km
107.8;HOL;Radio A-FM;Nieuwendijk/Buitenkade (nbr);38km
107.8;HOL;GO-FM;Terneuzen/Edvard Grieghof (zee);59km
